Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,qvalue
ENSDARG00000104632,32.79248407258862,-0.519580180594925,0.5274712692955025,-0.9850397753206218,0.32460453370807163,0.9998728016123211,0.9998728016123211
ENSDARG00000100660,306.60507457009,0.26097917376473523,0.5099916645976333,0.5117322338408005,0.6088384234110787,0.9998728016123211,0.9998728016123211
ENSDARG00000100422,58.5890450258607,0.6505983139825987,0.7308400655884,0.8902061403253821,,,
ENSDARG00000102128,140.8075152843431,0.13119193279753594,0.47969767202714264,0.2734887835563912,0.7844775132433521,0.9998728016123211,0.9998728016123211
ENSDARG00000103095,330.8621678526673,0.1354027432498676,0.2394791600471995,0.5654051201080743,0.5717982427911117,0.9998728016123211,0.9998728016123211
ENSDARG00000102226,13.225230390094504,0.09107720951920842,0.9650334632028945,0.09437725528908399,0.9248094827993641,0.9998728016123211,0.9998728016123211
ENSDARG00000104049,420.63418395926794,-0.0854946583870289,0.3398762266242805,-0.2515464504127845,0.8013916541232806,0.9998728016123211,0.9998728016123211
ENSDARG00000102474,258.04672032880273,0.054941786713846585,0.26740501520239385,0.20546281329937727,0.83721054897061,0.9998728016123211,0.9998728016123211
ENSDARG00000100143,176.00649072827895,0.23085259689314352,0.2901124556011796,0.7957348691381209,0.42618615512103775,0.9998728016123211,0.9998728016123211
ENSDARG00000104373,185.50603359199906,-0.15041310522543774,0.5789466937361796,-0.25980475724761554,0.7950143811832449,0.9998728016123211,0.9998728016123211
ENSDARG00000098311,159.4012182779376,0.024670901889785945,0.22258150467224883,0.11083985583669154,0.9117433396686051,0.9998728016123211,0.9998728016123211
ENSDARG00000102121,8.86043552474283,0.1228664200339814,0.7212600174904624,0.17034968950792578,0.8647351357021629,0.9998728016123211,0.9998728016123211
ENSDARG00000102123,956.6022131530415,-0.025027318962662744,0.37608379558864613,-0.06654718777098599,0.9469421905340238,0.9998728016123211,0.9998728016123211
ENSDARG00000102141,239.00104961995697,-0.3723614124130022,0.414002417025134,-0.8994184504734333,0.36842981518340256,0.9998728016123211,0.9998728016123211
ENSDARG00000099787,23.681963576086268,-0.20599546024209603,0.6127725703001584,-0.3361695190455276,0.7367430369596315,0.9998728016123211,0.9998728016123211
ENSDARG00000045914,1243.616513527813,-0.0021604948823413976,0.4009910309345596,-0.005387888295920471,0.9957011079123649,0.9998728016123211,0.9998728016123211
ENSDARG00000045913,478.65012716510273,-0.34396301496171616,0.4202183110200545,-0.8185340951153859,0.41305228171042374,0.9998728016123211,0.9998728016123211
ENSDARG00000045911,262.36308419722127,0.3866087727860025,0.2836496355692571,1.3629799735512313,0.17288882222716007,0.9998728016123211,0.9998728016123211
ENSDARG00000045910,210.67553133214022,0.047602584978144256,0.5275000435205294,0.09024185981188768,0.9280950206866729,0.9998728016123211,0.9998728016123211
ENSDARG00000045909,55.51818485306368,0.5676826666427355,1.372601136415217,0.4135816673774116,,,
ENSDARG00000025073,18117.405761959664,-0.23841992847324522,0.4662664846093139,-0.5113383362156472,0.6091141653734785,0.9998728016123211,0.9998728016123211
ENSDARG00000084828,5.902320197710338,-0.8759848702575991,0.8212346108952652,-1.066668231752493,0.2861216774021883,0.9998728016123211,0.9998728016123211
ENSDARG00000031737,13.037282967253601,2.2524396867616447,0.7283933138841305,3.0923398716424138,0.0019858534023563176,0.9998728016123211,0.9998728016123211
ENSDARG00000099652,868.6176661901941,0.3129576416344372,0.4666401410488184,0.6706616386045035,0.502436106103115,0.9998728016123211,0.9998728016123211
ENSDARG00000101047,270.34040691244684,-0.027019543393091323,0.2657801113962895,-0.10166126897585663,0.919025545693971,0.9998728016123211,0.9998728016123211
ENSDARG00000099833,198.47875699332798,0.11916447381715559,0.48595639677827496,0.2452163910325605,0.8062888855602964,0.9998728016123211,0.9998728016123211
ENSDARG00000103870,26.792779292513508,-0.13807147961561966,1.1121751926885886,-0.1241454408651605,,,
ENSDARG00000096118,214.96618915931063,-0.32051663604933606,0.3566062820733827,-0.8987969426275556,0.36876082891319206,0.9998728016123211,0.9998728016123211
ENSDARG00000045900,137.7871657078394,0.8786864024827282,0.8504704337801431,1.0331768954943816,,,
ENSDARG00000016968,918.12905386906,0.6378282438385943,0.47673732551671016,1.3379028863479197,0.1809280961411862,0.9998728016123211,0.9998728016123211
ENSDARG00000102878,578.1219667234205,-0.22998737371889802,0.34464393884970196,-0.667318782644237,0.5045685313780617,0.9998728016123211,0.9998728016123211
ENSDARG00000059311,200.5308744299666,-0.5438040569253714,0.5241042821406576,-1.0375875096922538,0.29946213536805566,0.9998728016123211,0.9998728016123211
ENSDARG00000017386,307.3104437170474,0.10797948546028971,0.405040161785669,0.26658957715266796,0.7897851815238308,0.9998728016123211,0.9998728016123211
ENSDARG00000045898,871.4801765421009,-0.10925984446790438,0.7106549083401639,-0.1537452892897009,0.8778105735987612,0.9998728016123211,0.9998728016123211
ENSDARG00000006060,328.7597780578558,0.06897297769879192,0.35149239979784747,0.19622893052157056,0.8444309849441284,0.9998728016123211,0.9998728016123211
ENSDARG00000104018,1141.295480299687,-0.07331764995750438,0.2640401684431157,-0.27767612174243783,0.7812609921090835,0.9998728016123211,0.9998728016123211
ENSDARG00000070535,28.185983169701707,-0.40138252072585573,2.8583158047163044,-0.14042623284087885,,,
ENSDARG00000013789,22.59663891100699,1.1276924449649692,0.8809384788717458,1.2801035168871853,0.20050873196358554,0.9998728016123211,0.9998728016123211
ENSDARG00000063686,444.15602229298156,0.031523553095866866,0.39794426091847585,0.07921600131412596,0.936860817379867,0.9998728016123211,0.9998728016123211
