gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,qvalue
ENSDARG00000040565,2171070.2448911676,0.020914600280983735,0.3558197375448027,0.05877864006448011,0.9531284217990572,0.9907092195883147,ckmb,0.8270838352733336
ENSDARG00000063905,1487142.650910075,-1.1096524783304793,0.2739022299427207,-4.051272158545527,5.093991416757014e-05,0.001853201708864017,mt-co1,0.0017495094116727295
ENSDARG00000035438,1137054.1273152079,-0.23670721822304697,0.28116083734425623,-0.841892563910742,0.39984809302217716,0.7652697575443386,myhc4,0.66764319877004
ENSDARG00000099420,859980.1029106316,0.16986971933882924,0.23689675581682865,0.7170622440696254,0.47333569098976813,0.8118160169024154,nme2b.2,0.7013960273945037
ENSDARG00000024433,868354.7312817415,0.024999577193425347,0.23376902211236716,0.10694136018333794,0.9148355006343829,0.9806604464395607,pvalb4,0.8202035139633654
ENSDARG00000099197,783433.8835948249,-1.1564698408235214,0.32510769465321,-3.557190001476647,0.00037484304384147237,0.009252955289337082,actc1b,0.008735224172874983
ENSDARG00000043457,888839.2622053204,0.16156398715391795,0.3646878557024206,0.44301992684327707,0.6577513214626496,0.9016998895963868,gapdh,0.7665702629877106
ENSDARG00000035458,656332.8636441057,-0.1379472977119047,0.2571100519579163,-0.5365301615453132,0.5915921963738469,0.8744020335726219,atp2a1l,0.7481983953040762
ENSDARG00000017441,487601.5314288832,-0.4626172071991743,0.2574993093792534,-1.796576496901654,0.07240287840029812,0.354032398359575,mylz3,0.3249801247825426
ENSDARG00000063908,654942.720335139,-0.3925657319683047,0.2839715197771327,-1.3824123358440985,0.16684513055325334,0.5377074238981507,mt-co2,0.48447430246147405
ENSDARG00000063912,587616.6927813822,-0.14387331341851464,0.28929620262355676,-0.4973218179629135,0.6189621284494472,0.8859189029239969,mt-co3,0.7569242921329075
ENSDARG00000033683,414178.264850324,-0.22613407415268005,0.2310399809975049,-0.9787659831703421,0.3276956211033918,0.7123355523302666,tpma,0.62613479211719
ENSDARG00000063924,509368.7717291637,-0.6873485441291804,0.29051733440236854,-2.3659467533775387,0.017984030713577275,0.15029888715502696,mt-cyb,0.14122106258990308
ENSDARG00000068457,334943.99449916545,-0.1455783028495964,0.21952218498006396,-0.6631598663379612,0.5072281722502248,0.8322090113506776,tnnt3b,0.716985256298589
ENSDARG00000063911,393964.7649742338,-0.26574042234636625,0.3239899693864705,-0.820211881403583,0.4120953298575075,0.773483116587706,mt-atp6,0.6736543687193223
ENSDARG00000092553,328261.6140073559,-0.2096732662039219,0.254764005689107,-0.8230097718740923,0.41050243648131335,0.7726119567289118,slc25a5,0.6730149965180363
ENSDARG00000011665,260242.92752099398,-0.23414203070047712,0.33183054192854283,-0.7056072335586813,0.4804324246094053,0.8165153112122953,aldoaa,0.7051331499825091
ENSDARG00000020850,163347.77974888735,0.23725996902105875,0.244438629557195,0.9706320537423216,0.3317315381649121,0.7159438989495717,eef1a1l1,0.6289996510372099
ENSDARG00000037789,144933.56911419387,-0.3629376865925509,0.6303720603076093,-0.5757515433273555,0.5647831306445396,0.8605773686360371,pvalb1,0.7382633191044187
ENSDARG00000000563,217750.72296482892,-0.7022042762662547,0.260526292375175,-2.695329787501963,0.00703189947897157,0.08116976302910321,ttn.1,0.07653711361681825
ENSDARG00000013752,149744.6134671112,-0.08336300707305262,0.3574182886685502,-0.23323654585106818,0.8155777287934441,0.9562653376852407,tnni2a.3,0.8038866493588476
ENSDARG00000028213,216049.5405184722,-0.6240588871175028,0.2577465991086443,-2.4212109462381384,0.015468897853997885,0.13632526405423384,ttn.2,0.12834820224427604
ENSDARG00000035327,219739.10647047329,-1.110916920387767,0.48618158506088555,-2.284983542206035,0.02231379279998244,0.17298086700928125,ckma,0.16181690784961583
ENSDARG00000001950,159695.8285313507,0.29093850249504477,0.25897522107622734,1.1234221609541915,0.2612582422546974,0.6554288614827676,ak1,0.5814576712954347
ENSDARG00000051783,99403.20522577941,0.18256399560669534,0.2391461957619395,0.7633991208809799,0.44522540406703337,0.7941681534268703,rplp0,0.6887755302057699
